SID,SNAME,SEX,HEIGHT,BDATE,DORM
04000001,娄希璧,女,168.95,2003-12-22,西2舍232
04000011,杜娴柏,女,157.14,2005-08-01,东2舍201
04000020,宋禅飒,男,176.0,2004-08-13,东1舍111
04000031,余华芝,女,161.57,2005-05-27,西2舍139
04000041,陶紫南,女,165.76,2005-05-16,东2舍227
04000050,孙旷钟,男,172.0,2004-11-22,西2舍205
04000060,马晨乔,男,172.0,2004-04-19,东2舍140
04000070,吴博元,男,174.0,2004-08-05,东2舍216
04000080,罗烊铠,男,177.0,2004-10-21,东1舍136
04000091,谭敏璧,女,160.56,2004-01-03,东1舍127
04000101,徐晴馨,女,157.96,2004-07-09,东2舍220
04000111,唐瑶蝶,女,167.21,2004-06-13,西1舍104
04000120,唐克明,男,182.0,2004-06-27,西1舍132
04000131,张嫦君,女,159.4,2004-06-03,西1舍107
04000141,张勤龙,女,170.54,2004-07-31,西2舍211
04000150,李骏宝,男,184.0,2004-10-28,东1舍127
04000161,黄银煊,女,158.34,2003-12-30,东2舍213
04000171,王婉莓,女,164.55,2004-05-08,西1舍108
04000181,吴凌沛,女,172.99,2005-03-09,东1舍123
04000190,吴高若,男,183.0,2004-12-19,东2舍201
04000200,刘彤洋,男,156.0,2004-03-23,西1舍132
04000210,陈承昶,男,187.0,2004-06-03,西1舍116
04000221,蔡念瑞,女,154.19,2004-06-25,西1舍132
04000231,陈映歆,女,167.15,2004-07-13,东1舍131
04000240,姚钊谱,男,173.0,2004-02-17,东2舍203
04000250,刘颜生,男,177.0,2003-12-25,西2舍232
04000260,梁珑珺,男,179.0,2003-11-27,东1舍115
04000270,王明洲,男,173.0,2004-09-05,东1舍127
04000281,张可馥,女,155.18,2004-08-25,西1舍113
04000290,姜和掣,男,173.0,2004-12-15,东1舍111
04000301,郭茗香,女,160.53,2004-05-21,东1舍137
04000310,郭彬东,男,166.0,2004-03-17,东1舍133
04000321,余芳颢,女,156.75,2004-06-28,东1舍114
04000331,李惠梅,女,158.18,2004-05-07,西1舍128
04000341,柳允问,女,164.79,2004-04-17,西1舍124
04000350,赵谊景,男,172.0,2004-10-06,西1舍122
04000361,卢菡冬,女,159.99,2005-03-22,西2舍232
04000371,苏惜伊,女,147.75,2004-05-23,西1舍116
04000381,张洲琦,女,170.25,2004-06-27,东1舍131
04000391,李醉好,女,166.76,2004-07-29,西2舍221
04000400,赵万靖,男,179.0,2004-05-30,东1舍105
04000411,杜初然,女,164.97,2004-04-01,东2舍209
04000420,叶泰浪,男,169.0,2004-03-09,西2舍139
04000430,唐翰拾,男,169.0,2004-10-27,东1舍133
04000440,邵社溪,男,182.0,2004-01-26,东2舍220
04000450,黄胜晋,男,183.0,2004-07-12,东2舍220
04000461,杨莲莎,女,157.49,2004-10-18,东2舍215
04000471,戴蕊蒨,女,156.74,2004-02-20,西2舍229
04000481,黄梦任,女,164.05,2004-06-09,西1舍107
04000490,崔骏璟,男,171.0,2004-05-18,西1舍107
04000501,江烟雯,女,151.49,2004-01-04,西2舍221
04000511,王普昭,女,167.19,2004-07-02,东2舍231
04000521,程晓自,女,155.8,2003-10-25,西1舍135
04000530,王仑竹,男,182.0,2005-06-09,西1舍102
04000541,李枝逸,女,156.38,2004-03-14,东1舍103
04000551,黄佩芬,女,154.2,2005-05-23,东2舍202
04000561,孙玲烟,女,172.6,2004-05-29,西2舍214
04000570,谢时韶,男,174.0,2004-12-13,西1舍126
04000580,田羽虚,男,172.0,2003-07-23,西1舍108
04000590,施示俯,男,172.0,2004-01-05,西2舍210
04000600,秦奕福,男,179.0,2004-10-19,东1舍103
04000610,熊晨骏,男,174.0,2004-01-16,东1舍137
04000621,王姣智,女,165.93,2004-08-23,东1舍127
